comboId,docId,annotId,annotSet,annotType,annotSpan,subSpanType,linkId,linkSpan,subSpan,unit,unitEncoded,misc
S0006322312001096-1177_T3-1,S0006322312001096-1177,T3-1,1,MeasuredProperty,"[79, 90]",HasQuantity,T1-1,"[94, 98]","[79, 98]",,,
S0006322312001096-1177_T2-1,S0006322312001096-1177,T2-1,1,MeasuredEntity,"[4, 22]",HasProperty,T3-1,"[79, 90]","[4, 90]",,,
S0006322312001096-1177_T51-2,S0006322312001096-1177,T51-2,2,Quantity,"[260, 268]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T61-2,S0006322312001096-1177,T61-2,2,MeasuredProperty,"[255, 259]",HasQuantity,T51-2,"[260, 268]","[255, 268]",,,
S0006322312001096-1177_T71-2,S0006322312001096-1177,T71-2,2,MeasuredEntity,"[202, 219]",HasProperty,T61-2,"[255, 259]","[202, 259]",,,
S0006322312001096-1177_T1-3,S0006322312001096-1177,T1-3,3,Quantity,"[281, 283]",,,,,,,{'mods': ['IsCount']}
S0006322312001096-1177_T2-3,S0006322312001096-1177,T2-3,3,MeasuredEntity,"[284, 309]",HasQuantity,T1-3,"[281, 283]","[281, 309]",,,
S0006322312001096-1177_T1-4,S0006322312001096-1177,T1-4,4,Quantity,"[341, 353]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T3-4,S0006322312001096-1177,T3-4,4,MeasuredProperty,"[313, 324]",HasQuantity,T1-4,"[341, 353]","[313, 353]",,,
S0006322312001096-1177_T2-4,S0006322312001096-1177,T2-4,4,MeasuredEntity,"[202, 219]",HasProperty,T3-4,"[313, 324]","[202, 324]",,,
S0006322312001096-1177_T12-5,S0006322312001096-1177,T12-5,5,Quantity,"[384, 387]",,,,,,,
S0006322312001096-1177_T32-5,S0006322312001096-1177,T32-5,5,MeasuredProperty,"[372, 380]",HasQuantity,T12-5,"[384, 387]","[372, 387]",,,
S0006322312001096-1177_T42-5,S0006322312001096-1177,T42-5,5,MeasuredEntity,"[393, 399]",HasProperty,T32-5,"[372, 380]","[372, 399]",,,
S0006322312001096-1177_T2-6,S0006322312001096-1177,T2-6,6,Quantity,"[413, 429]",,,,,employees,"[32198, 5421]",
S0006322312001096-1177_T1-6,S0006322312001096-1177,T1-6,6,MeasuredEntity,"[393, 399]",HasQuantity,T2-6,"[413, 429]","[393, 429]",,,
S0006322312001096-1177_T1-7,S0006322312001096-1177,T1-7,7,Quantity,"[431, 439]",,,,,men,[2262],
S0006322312001096-1177_T3-7,S0006322312001096-1177,T3-7,7,MeasuredEntity,"[393, 399]",HasQuantity,T1-7,"[431, 439]","[393, 439]",,,
S0006322312001096-1177_T1-8,S0006322312001096-1177,T1-8,8,Quantity,"[444, 454]",,,,,women,[22197],
S0006322312001096-1177_T3-8,S0006322312001096-1177,T3-8,8,MeasuredEntity,"[393, 399]",HasQuantity,T1-8,"[444, 454]","[393, 454]",,,
S0006322312001096-1177_T23-9,S0006322312001096-1177,T23-9,9,Quantity,"[536, 563]",,,,,years,[12857],
S0006322312001096-1177_T83-9,S0006322312001096-1177,T83-9,9,MeasuredProperty,"[524, 535]",HasQuantity,T23-9,"[536, 563]","[524, 563]",,,
S0006322312001096-1177_T93-9,S0006322312001096-1177,T93-9,9,MeasuredEntity,"[496, 518]",HasProperty,T83-9,"[524, 535]","[496, 535]",,,
S0006322312001096-1177_T1-10,S0006322312001096-1177,T1-10,10,Quantity,"[574, 586]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T2-10,S0006322312001096-1177,T2-10,10,MeasuredEntity,"[565, 572]",HasQuantity,T1-10,"[574, 586]","[565, 586]",,,
S0006322312001096-1177_T3-11,S0006322312001096-1177,T3-11,11,Quantity,"[592, 596]",,,,,,,
S0006322312001096-1177_T2-11,S0006322312001096-1177,T2-11,11,MeasuredProperty,"[588, 589]",HasQuantity,T3-11,"[592, 596]","[588, 596]",,,
S0006322312001096-1177_T1-11,S0006322312001096-1177,T1-11,11,MeasuredEntity,"[565, 572]",HasProperty,T2-11,"[588, 589]","[565, 589]",,,
S0006322312001096-1177_T2-12,S0006322312001096-1177,T2-12,12,Quantity,"[608, 620]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T1-12,S0006322312001096-1177,T1-12,12,MeasuredEntity,"[599, 606]",HasQuantity,T2-12,"[608, 620]","[599, 620]",,,
S0006322312001096-1177_T3-13,S0006322312001096-1177,T3-13,13,Quantity,"[626, 630]",,,,,,,
S0006322312001096-1177_T2-13,S0006322312001096-1177,T2-13,13,MeasuredProperty,"[622, 623]",HasQuantity,T3-13,"[626, 630]","[622, 630]",,,
S0006322312001096-1177_T1-13,S0006322312001096-1177,T1-13,13,MeasuredEntity,"[599, 606]",HasProperty,T2-13,"[622, 623]","[599, 623]",,,
S0006322312001096-1177_T2-14,S0006322312001096-1177,T2-14,14,Quantity,"[642, 654]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T1-14,S0006322312001096-1177,T1-14,14,MeasuredEntity,"[633, 640]",HasQuantity,T2-14,"[642, 654]","[633, 654]",,,
S0006322312001096-1177_T2-15,S0006322312001096-1177,T2-15,15,Quantity,"[660, 664]",,,,,,,
S0006322312001096-1177_T3-15,S0006322312001096-1177,T3-15,15,MeasuredProperty,"[656, 657]",HasQuantity,T2-15,"[660, 664]","[656, 664]",,,
S0006322312001096-1177_T1-15,S0006322312001096-1177,T1-15,15,MeasuredEntity,"[633, 640]",HasProperty,T3-15,"[656, 657]","[633, 657]",,,
S0006322312001096-1177_T2-16,S0006322312001096-1177,T2-16,16,Quantity,"[680, 692]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1177_T1-16,S0006322312001096-1177,T1-16,16,MeasuredEntity,"[671, 678]",HasQuantity,T2-16,"[680, 692]","[671, 692]",,,
S0006322312001096-1177_T3-17,S0006322312001096-1177,T3-17,17,Quantity,"[698, 702]",,,,,,,
S0006322312001096-1177_T2-17,S0006322312001096-1177,T2-17,17,MeasuredProperty,"[694, 695]",HasQuantity,T3-17,"[698, 702]","[694, 702]",,,
S0006322312001096-1177_T1-17,S0006322312001096-1177,T1-17,17,MeasuredEntity,"[671, 678]",HasProperty,T2-17,"[694, 695]","[671, 695]",,,
S0006322312001096-1177_T1-18,S0006322312001096-1177,T1-18,18,Quantity,"[874, 879]",,,,,,,{'mods': ['IsCount']}
S0006322312001096-1177_T2-18,S0006322312001096-1177,T2-18,18,MeasuredEntity,"[880, 896]",HasQuantity,T1-18,"[874, 879]","[874, 896]",,,
S0006322312001096-1177_T2-19,S0006322312001096-1177,T2-19,19,Quantity,"[1117, 1122]",,,,,,,{'mods': ['IsCount']}
S0006322312001096-1177_T1-19,S0006322312001096-1177,T1-19,19,MeasuredEntity,"[1123, 1134]",HasQuantity,T2-19,"[1117, 1122]","[1117, 1134]",,,
S0006322312001096-1190_T11-1,S0006322312001096-1190,T11-1,1,Quantity,"[673, 689]",,,,,hours,[21719],
S0006322312001096-1190_T2-1,S0006322312001096-1190,T2-1,1,MeasuredProperty,"[643, 648]",HasQuantity,T11-1,"[673, 689]","[643, 689]",,,
S0006322312001096-1190_T1-1,S0006322312001096-1190,T1-1,1,MeasuredEntity,"[626, 638]",HasProperty,T2-1,"[643, 648]","[626, 648]",,,
S0006322312001096-1190_T3-1,S0006322312001096-1190,T3-1,1,Qualifier,"[690, 722]",Qualifies,T11-1,"[673, 689]","[673, 722]",,,
S0006322312001096-1190_T82-2,S0006322312001096-1190,T82-2,2,Quantity,"[770, 774]",,,,,°C,"[12938, 347]",
S0006322312001096-1190_T102-2,S0006322312001096-1190,T102-2,2,MeasuredProperty,"[754, 766]",HasQuantity,T82-2,"[770, 774]","[754, 774]",,,
S0006322312001096-1190_T92-2,S0006322312001096-1190,T92-2,2,MeasuredEntity,"[725, 749]",HasProperty,T102-2,"[754, 766]","[725, 766]",,,
S0006322312001096-1190_T23-3,S0006322312001096-1190,T23-3,3,Quantity,"[787, 802]",,,,,hours,[21719],
S0006322312001096-1190_T113-3,S0006322312001096-1190,T113-3,3,MeasuredProperty,"[779, 786]",HasQuantity,T23-3,"[787, 802]","[779, 802]",,,
S0006322312001096-1190_T93-3,S0006322312001096-1190,T93-3,3,MeasuredEntity,"[725, 749]",HasProperty,T113-3,"[779, 786]","[725, 786]",,,
S0006322312001096-1190_T44-4,S0006322312001096-1190,T44-4,4,Quantity,"[1216, 1223]",,,,,hours,[21719],
S0006322312001096-1190_T2-4,S0006322312001096-1190,T2-4,4,MeasuredProperty,"[1207, 1212]",HasQuantity,T44-4,"[1216, 1223]","[1207, 1223]",,,
S0006322312001096-1190_T1-4,S0006322312001096-1190,T1-4,4,MeasuredEntity,"[1177, 1201]",HasProperty,T2-4,"[1207, 1212]","[1177, 1212]",,,
S0006322312001096-1190_T144-4,S0006322312001096-1190,T144-4,4,Qualifier,"[1224, 1269]",Qualifies,T44-4,"[1216, 1223]","[1216, 1269]",,,
S0006322312001096-1190_T35-5,S0006322312001096-1190,T35-5,5,Quantity,"[1248, 1252]",,,,,g,[571],
S0006322312001096-1190_T205-5,S0006322312001096-1190,T205-5,5,MeasuredEntity,"[1253, 1269]",HasQuantity,T35-5,"[1248, 1252]","[1248, 1269]",,,
S0006322312001096-1190_T56-6,S0006322312001096-1190,T56-6,6,Quantity,"[1441, 1450]",,,,,%,[207],
S0006322312001096-1190_T66-6,S0006322312001096-1190,T66-6,6,MeasuredProperty,"[1410, 1439]",HasQuantity,T56-6,"[1441, 1450]","[1410, 1450]",,,
S0006322312001096-1190_T1-6,S0006322312001096-1190,T1-6,6,MeasuredEntity,"[1308, 1330]",HasProperty,T66-6,"[1410, 1439]","[1308, 1439]",,,
S0006322312001096-1190_T157-7,S0006322312001096-1190,T157-7,7,Quantity,"[1493, 1504]",,,,,mmol/L,"[5471, 1168, 73, 574]",
S0006322312001096-1190_T237-7,S0006322312001096-1190,T237-7,7,MeasuredEntity,"[1477, 1492]",HasQuantity,T157-7,"[1493, 1504]","[1477, 1504]",,,
S0006322312001096-1190_T1-8,S0006322312001096-1190,T1-8,8,Quantity,"[1508, 1514]",,,,,hour,[4509],
S0006322312001096-1190_T3-8,S0006322312001096-1190,T3-8,8,MeasuredEntity,"[1515, 1531]",HasQuantity,T1-8,"[1508, 1514]","[1508, 1531]",,,
S0006322312001096-1190_T218-9,S0006322312001096-1190,T218-9,9,Quantity,"[1532, 1544]",,,,,mmol/L,"[5471, 1168, 73, 574]",
S0006322312001096-1190_T228-9,S0006322312001096-1190,T228-9,9,MeasuredEntity,"[1508, 1531]",HasQuantity,T218-9,"[1532, 1544]","[1508, 1544]",,,
S0006322312001096-1190_T79-10,S0006322312001096-1190,T79-10,10,Quantity,"[1704, 1713]",,,,,minutes,"[4691, 11282]",
S0006322312001096-1190_T179-10,S0006322312001096-1190,T179-10,10,MeasuredEntity,"[1714, 1718]",HasQuantity,T79-10,"[1704, 1713]","[1704, 1718]",,,
S0006322312001096-1194_T31-1,S0006322312001096-1194,T31-1,1,Quantity,"[217, 220]",,,,,%,[207],
S0006322312001096-1194_T61-1,S0006322312001096-1194,T61-1,1,MeasuredProperty,"[221, 230]",HasQuantity,T31-1,"[217, 220]","[217, 230]",,,
S0006322312001096-1194_T71-1,S0006322312001096-1194,T71-1,1,MeasuredEntity,"[234, 238]",HasProperty,T61-1,"[221, 230]","[221, 238]",,,
S0006322312001096-1194_T3-2,S0006322312001096-1194,T3-2,2,Quantity,"[243, 247]",,,,,,,
S0006322312001096-1194_T1-2,S0006322312001096-1194,T1-2,2,MeasuredProperty,"[180, 212]",HasQuantity,T3-2,"[243, 247]","[180, 247]",,,
S0006322312001096-1194_T2-2,S0006322312001096-1194,T2-2,2,MeasuredEntity,"[297, 342]",HasProperty,T1-2,"[180, 212]","[180, 342]",,,
S0006322312001096-1194_T22-3,S0006322312001096-1194,T22-3,3,Quantity,"[249, 252]",,,,,%,[207],
S0006322312001096-1194_T82-3,S0006322312001096-1194,T82-3,3,MeasuredEntity,"[253, 277]",HasQuantity,T22-3,"[249, 252]","[249, 277]",,,
S0006322312001096-1194_T4-4,S0006322312001096-1194,T4-4,4,Quantity,"[278, 287]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1194_T1-4,S0006322312001096-1194,T1-4,4,MeasuredProperty,"[180, 212]",HasQuantity,T4-4,"[278, 287]","[180, 287]",,,
S0006322312001096-1194_T2-4,S0006322312001096-1194,T2-4,4,MeasuredEntity,"[297, 342]",HasProperty,T1-4,"[180, 212]","[180, 342]",,,
S0006322312001096-1194_T3-4,S0006322312001096-1194,T3-4,4,Qualifier,"[249, 277]",Qualifies,T1-4,"[180, 212]","[180, 277]",,,
S0006322312001096-1194_T2-5,S0006322312001096-1194,T2-5,5,Quantity,"[347, 351]",,,,,,,
S0006322312001096-1194_T1-5,S0006322312001096-1194,T1-5,5,MeasuredProperty,"[180, 212]",HasQuantity,T2-5,"[347, 351]","[180, 351]",,,
S0006322312001096-1194_T3-5,S0006322312001096-1194,T3-5,5,MeasuredEntity,"[379, 418]",HasProperty,T1-5,"[180, 212]","[180, 418]",,,
S0006322312001096-1194_T13-6,S0006322312001096-1194,T13-6,6,Quantity,"[353, 356]",,,,,%,[207],
S0006322312001096-1194_T93-6,S0006322312001096-1194,T93-6,6,MeasuredEntity,"[357, 359]",HasQuantity,T13-6,"[353, 356]","[353, 359]",,,
S0006322312001096-1194_T3-7,S0006322312001096-1194,T3-7,7,Quantity,"[360, 369]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1194_T1-7,S0006322312001096-1194,T1-7,7,MeasuredProperty,"[180, 212]",HasQuantity,T3-7,"[360, 369]","[180, 369]",,,
S0006322312001096-1194_T2-7,S0006322312001096-1194,T2-7,7,MeasuredEntity,"[379, 418]",HasProperty,T1-7,"[180, 212]","[180, 418]",,,
S0006322312001096-1194_T4-7,S0006322312001096-1194,T4-7,7,Qualifier,"[353, 359]",Qualifies,T1-7,"[180, 212]","[180, 359]",,,
S0006322312001096-1194_T3-8,S0006322312001096-1194,T3-8,8,Quantity,"[514, 518]",,,,,,,
S0006322312001096-1194_T1-8,S0006322312001096-1194,T1-8,8,MeasuredProperty,"[438, 449]",HasQuantity,T3-8,"[514, 518]","[438, 518]",,,
S0006322312001096-1194_T2-8,S0006322312001096-1194,T2-8,8,MeasuredEntity,"[474, 477]",HasProperty,T1-8,"[438, 449]","[438, 477]",,,
S0006322312001096-1194_T54-9,S0006322312001096-1194,T54-9,9,Quantity,"[520, 523]",,,,,%,[207],
S0006322312001096-1194_T104-9,S0006322312001096-1194,T104-9,9,MeasuredEntity,"[524, 526]",HasQuantity,T54-9,"[520, 523]","[520, 526]",,,
S0006322312001096-1194_T1-10,S0006322312001096-1194,T1-10,10,Quantity,"[527, 536]",,,,,,,
S0006322312001096-1194_T3-10,S0006322312001096-1194,T3-10,10,MeasuredProperty,"[438, 449]",HasQuantity,T1-10,"[527, 536]","[438, 536]",,,
S0006322312001096-1194_T2-10,S0006322312001096-1194,T2-10,10,MeasuredEntity,"[474, 477]",HasProperty,T3-10,"[438, 449]","[438, 477]",,,
S0006322312001096-1194_T4-10,S0006322312001096-1194,T4-10,10,Qualifier,"[520, 526]",Qualifies,T3-10,"[438, 449]","[438, 526]",,,
S0006322312001096-1194_T3-11,S0006322312001096-1194,T3-11,11,Quantity,"[542, 546]",,,,,,,
S0006322312001096-1194_T1-11,S0006322312001096-1194,T1-11,11,MeasuredProperty,"[438, 449]",HasQuantity,T3-11,"[542, 546]","[438, 546]",,,
S0006322312001096-1194_T2-11,S0006322312001096-1194,T2-11,11,MeasuredEntity,"[505, 508]",HasProperty,T1-11,"[438, 449]","[438, 508]",,,
S0006322312001096-1194_T45-12,S0006322312001096-1194,T45-12,12,Quantity,"[548, 551]",,,,,%,[207],
S0006322312001096-1194_T115-12,S0006322312001096-1194,T115-12,12,MeasuredEntity,"[552, 554]",HasQuantity,T45-12,"[548, 551]","[548, 554]",,,
S0006322312001096-1194_T1-13,S0006322312001096-1194,T1-13,13,Quantity,"[555, 564]",,,,,,,
S0006322312001096-1194_T3-13,S0006322312001096-1194,T3-13,13,MeasuredProperty,"[438, 449]",HasQuantity,T1-13,"[555, 564]","[438, 564]",,,
S0006322312001096-1194_T2-13,S0006322312001096-1194,T2-13,13,MeasuredEntity,"[505, 508]",HasProperty,T3-13,"[438, 449]","[438, 508]",,,
S0006322312001096-1194_T4-13,S0006322312001096-1194,T4-13,13,Qualifier,"[548, 554]",Qualifies,T3-13,"[438, 449]","[438, 554]",,,
S0006322312001096-1197_T1-1,S0006322312001096-1197,T1-1,1,Quantity,"[8, 13]",,,,,,,{'mods': ['IsCount']}
S0006322312001096-1197_T2-1,S0006322312001096-1197,T2-1,1,MeasuredEntity,"[14, 44]",HasQuantity,T1-1,"[8, 13]","[8, 44]",,,
S0006322312001096-1197_T1-2,S0006322312001096-1197,T1-2,2,Quantity,"[146, 153]",,,,,item,[36907],
S0006322312001096-1197_T3-2,S0006322312001096-1197,T3-2,2,MeasuredEntity,"[154, 188]",HasQuantity,T1-2,"[146, 153]","[146, 188]",,,
S0006322312001096-1197_T1-3,S0006322312001096-1197,T1-3,3,Quantity,"[413, 419]",,,,,,,{'mods': ['IsList']}
S0006322312001096-1197_T2-3,S0006322312001096-1197,T2-3,3,MeasuredProperty,"[396, 402]",HasQuantity,T1-3,"[413, 419]","[396, 419]",,,
S0006322312001096-1197_T3-3,S0006322312001096-1197,T3-3,3,MeasuredEntity,"[376, 395]",HasProperty,T2-3,"[396, 402]","[376, 402]",,,
S0006322312001096-1197_T1-4,S0006322312001096-1197,T1-4,4,Quantity,"[479, 488]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1197_T2-4,S0006322312001096-1197,T2-4,4,MeasuredProperty,"[470, 475]",HasQuantity,T1-4,"[479, 488]","[470, 488]",,,
S0006322312001096-1197_T3-4,S0006322312001096-1197,T3-4,4,MeasuredEntity,"[525, 542]",HasProperty,T2-4,"[470, 475]","[470, 542]",,,
S0006322312001096-1197_T1-5,S0006322312001096-1197,T1-5,5,Quantity,"[554, 560]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1197_T3-5,S0006322312001096-1197,T3-5,5,MeasuredProperty,"[547, 553]",HasQuantity,T1-5,"[554, 560]","[547, 560]",,,
S0006322312001096-1197_T2-5,S0006322312001096-1197,T2-5,5,MeasuredEntity,"[564, 572]",HasProperty,T3-5,"[547, 553]","[547, 572]",,,
S0006322312001096-1197_T4-5,S0006322312001096-1197,T4-5,5,Qualifier,"[525, 536]",Qualifies,T2-5,"[564, 572]","[525, 572]",,,
S0006322312001096-1197_T21-6,S0006322312001096-1197,T21-6,6,Quantity,"[732, 735]",,,,,%,[207],
S0006322312001096-1197_T71-6,S0006322312001096-1197,T71-6,6,MeasuredProperty,"[721, 730]",HasQuantity,T21-6,"[732, 735]","[721, 735]",,,
S0006322312001096-1197_T81-6,S0006322312001096-1197,T81-6,6,MeasuredEntity,"[702, 714]",HasProperty,T71-6,"[721, 730]","[702, 730]",,,
S0006322312001096-1197_T12-7,S0006322312001096-1197,T12-7,7,Quantity,"[751, 754]",,,,,%,[207],
S0006322312001096-1197_T92-7,S0006322312001096-1197,T92-7,7,MeasuredProperty,"[741, 749]",HasQuantity,T12-7,"[751, 754]","[741, 754]",,,
S0006322312001096-1197_T82-7,S0006322312001096-1197,T82-7,7,MeasuredEntity,"[702, 714]",HasProperty,T92-7,"[741, 749]","[702, 749]",,,
S0006322312001096-1197_T43-8,S0006322312001096-1197,T43-8,8,Quantity,"[1018, 1021]",,,,,%,[207],
S0006322312001096-1197_T113-8,S0006322312001096-1197,T113-8,8,MeasuredProperty,"[1005, 1016]",HasQuantity,T43-8,"[1018, 1021]","[1005, 1021]",,,
S0006322312001096-1197_T103-8,S0006322312001096-1197,T103-8,8,MeasuredEntity,"[884, 887]",HasProperty,T113-8,"[1005, 1016]","[884, 1016]",,,
S0006322312001096-1197_T34-9,S0006322312001096-1197,T34-9,9,Quantity,"[1040, 1043]",,,,,%,[207],
S0006322312001096-1197_T124-9,S0006322312001096-1197,T124-9,9,MeasuredProperty,"[1027, 1038]",HasQuantity,T34-9,"[1040, 1043]","[1027, 1043]",,,
S0006322312001096-1197_T104-9,S0006322312001096-1197,T104-9,9,MeasuredEntity,"[884, 887]",HasProperty,T124-9,"[1027, 1038]","[884, 1038]",,,
S0006322312001096-1197_T1-10,S0006322312001096-1197,T1-10,10,Quantity,"[1099, 1115]",,,,,participants,"[42038, 3277]",
S0006322312001096-1197_T3-10,S0006322312001096-1197,T3-10,10,MeasuredEntity,"[1087, 1095]",HasQuantity,T1-10,"[1099, 1115]","[1087, 1115]",,,
S0006322312001096-1197_T165-11,S0006322312001096-1197,T165-11,11,Quantity,"[1121, 1129]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1197_T1-11,S0006322312001096-1197,T1-11,11,MeasuredProperty,"[1116, 1120]",HasQuantity,T165-11,"[1121, 1129]","[1116, 1129]",,,
S0006322312001096-1197_T175-11,S0006322312001096-1197,T175-11,11,MeasuredEntity,"[1087, 1115]",HasProperty,T1-11,"[1116, 1120]","[1087, 1120]",,,
S0006322312001096-1197_T1-12,S0006322312001096-1197,T1-12,12,Quantity,"[1133, 1137]",,,,,,,
S0006322312001096-1197_T2-12,S0006322312001096-1197,T2-12,12,MeasuredEntity,"[1056, 1078]",HasQuantity,T1-12,"[1133, 1137]","[1056, 1137]",,,
S0006322312001096-1197_T66-13,S0006322312001096-1197,T66-13,13,Quantity,"[1282, 1285]",,,,,%,[207],
S0006322312001096-1197_T156-13,S0006322312001096-1197,T156-13,13,MeasuredProperty,"[1143, 1154]",HasQuantity,T66-13,"[1282, 1285]","[1143, 1285]",,,
S0006322312001096-1197_T136-13,S0006322312001096-1197,T136-13,13,MeasuredEntity,"[1174, 1194]",HasProperty,T156-13,"[1143, 1154]","[1143, 1194]",,,
S0006322312001096-1197_T57-14,S0006322312001096-1197,T57-14,14,Quantity,"[1290, 1293]",,,,,%,[207],
S0006322312001096-1197_T147-14,S0006322312001096-1197,T147-14,14,MeasuredProperty,"[1159, 1170]",HasQuantity,T57-14,"[1290, 1293]","[1159, 1293]",,,
S0006322312001096-1197_T137-14,S0006322312001096-1197,T137-14,14,MeasuredEntity,"[1174, 1194]",HasProperty,T147-14,"[1159, 1170]","[1159, 1194]",,,
S0006322312001096-1202_T1-1,S0006322312001096-1202,T1-1,1,Quantity,"[220, 228]",,,,,items,[46740],
S0006322312001096-1202_T3-1,S0006322312001096-1202,T3-1,1,MeasuredEntity,"[236, 241]",HasQuantity,T1-1,"[220, 228]","[220, 241]",,,
S0006322312001096-1202_T1-2,S0006322312001096-1202,T1-2,2,Quantity,"[398, 408]",,,,,point,[2300],
S0006322312001096-1202_T3-2,S0006322312001096-1202,T3-2,2,MeasuredEntity,"[409, 414]",HasQuantity,T1-2,"[398, 408]","[398, 414]",,,
S0006322312001096-1202_T51-3,S0006322312001096-1202,T51-3,3,Quantity,"[420, 437]",,,,,day,[1208],
S0006322312001096-1202_T1-3,S0006322312001096-1202,T1-3,3,MeasuredProperty,"[416, 417]",HasQuantity,T51-3,"[420, 437]","[416, 437]",,,
S0006322312001096-1202_T3-3,S0006322312001096-1202,T3-3,3,MeasuredEntity,"[398, 414]",HasProperty,T1-3,"[416, 417]","[398, 417]",,,
S0006322312001096-1202_T62-4,S0006322312001096-1202,T62-4,4,Quantity,"[443, 451]",,,,,days,[7033],
S0006322312001096-1202_T1-4,S0006322312001096-1202,T1-4,4,MeasuredProperty,"[439, 440]",HasQuantity,T62-4,"[443, 451]","[439, 451]",,,
S0006322312001096-1202_T3-4,S0006322312001096-1202,T3-4,4,MeasuredEntity,"[398, 414]",HasProperty,T1-4,"[439, 440]","[398, 440]",,,
S0006322312001096-1202_T33-5,S0006322312001096-1202,T33-5,5,Quantity,"[457, 465]",,,,,days,[7033],
S0006322312001096-1202_T2-5,S0006322312001096-1202,T2-5,5,MeasuredProperty,"[453, 454]",HasQuantity,T33-5,"[457, 465]","[453, 465]",,,
S0006322312001096-1202_T3-5,S0006322312001096-1202,T3-5,5,MeasuredEntity,"[398, 414]",HasProperty,T2-5,"[453, 454]","[398, 454]",,,
S0006322312001096-1202_T44-6,S0006322312001096-1202,T44-6,6,Quantity,"[475, 483]",,,,,days,[7033],
S0006322312001096-1202_T2-6,S0006322312001096-1202,T2-6,6,MeasuredProperty,"[471, 472]",HasQuantity,T44-6,"[475, 483]","[471, 483]",,,
S0006322312001096-1202_T3-6,S0006322312001096-1202,T3-6,6,MeasuredEntity,"[398, 414]",HasProperty,T2-6,"[471, 472]","[398, 472]",,,
S0006322312001096-1202_T1-7,S0006322312001096-1202,T1-7,7,Quantity,"[532, 548]",,,,,,,{'mods': ['IsRange']}
S0006322312001096-1202_T2-7,S0006322312001096-1202,T2-7,7,MeasuredEntity,"[520, 531]",HasQuantity,T1-7,"[532, 548]","[520, 548]",,,
S0006322312001096-1202_T1-8,S0006322312001096-1202,T1-8,8,Quantity,"[576, 579]",,,,,,,
S0006322312001096-1202_T3-8,S0006322312001096-1202,T3-8,8,MeasuredProperty,"[568, 575]",HasQuantity,T1-8,"[576, 579]","[568, 579]",,,
S0006322312001096-1202_T4-8,S0006322312001096-1202,T4-8,8,MeasuredEntity,"[580, 623]",HasProperty,T3-8,"[568, 575]","[568, 623]",,,
