,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
28,S0012821X13007309-1649,1,MeasuredProperty,465,484,T2-1,VPDB negative shift,"{""HasQuantity"": ""T1-1""}"
29,S0012821X13007309-1649,1,MeasuredEntity,439,444,T3-1,OAE 2,"{""HasProperty"": ""T2-1""}"
30,S0012821X13007309-1649,2,Quantity,510,512,T1-2,4‰,"{""unit"": ""‰""}"
31,S0012821X13007309-1649,2,MeasuredProperty,513,531,T3-2,positive excursion,"{""HasQuantity"": ""T1-2""}"
32,S0012821X13007309-1649,2,MeasuredEntity,439,444,T2-2,OAE 2,"{""HasProperty"": ""T3-2""}"
33,S0012821X13007309-1649,2,Qualifier,465,469,T4-2,VPDB,"{""Qualifies"": ""T3-2""}"
34,S0012821X13007309-1649,3,Quantity,533,548,T1-3,−27.7 to −23.7‰,"{""mods"": [""IsList""], ""unit"": ""‰""}"
35,S0012821X13007309-1649,3,MeasuredProperty,510,531,T4-3,4‰ positive excursion,"{""HasQuantity"": ""T1-3""}"
36,S0012821X13007309-1649,3,MeasuredEntity,439,444,T3-3,OAE 2,"{""HasProperty"": ""T4-3""}"
37,S0012821X13007309-1649,3,Qualifier,465,469,T2-3,VPDB,"{""Qualifies"": ""T4-3""}"
38,S0012821X13007309-1649,4,Quantity,650,654,T1-4,∼2 m,"{""mods"": [""IsApproximate""], ""unit"": ""m""}"
39,S0012821X13007309-1649,4,MeasuredEntity,634,643,T3-4,excursion,"{""HasQuantity"": ""T1-4""}"
40,S0012821X13007309-1649,5,Quantity,746,771,T1-5,between ∼−23.5‰ to −27.5‰,"{""mods"": [""IsApproximate"", ""IsRange""], ""unit"": ""‰""}"
41,S0012821X13007309-1649,5,MeasuredProperty,721,735,T3-5,δ13Corg values,"{""HasQuantity"": ""T1-5""}"
42,S0012821X13007309-1649,5,MeasuredEntity,710,715,T2-5,OAE 2,"{""HasProperty"": ""T3-5""}"
43,S0012821X13007309-1649,6,Quantity,817,829,T1-6,1035.75 mbsf,"{""unit"": ""mbsf""}"
44,S0012821X13007309-1649,6,MeasuredProperty,777,795,T4-6,maximum enrichment,"{""HasQuantity"": ""T1-6""}"
45,S0012821X13007309-1649,6,MeasuredEntity,803,810,T3-6,δ13Corg,"{""HasProperty"": ""T4-6""}"
46,S0012821X13007309-1649,7,Quantity,831,838,T1-7,∼3.52 m,"{""unit"": ""m""}"
47,S0012821X13007309-1649,7,MeasuredProperty,777,795,T5-7,maximum enrichment,"{""HasQuantity"": ""T1-7""}"
48,S0012821X13007309-1649,7,MeasuredEntity,803,810,T4-7,δ13Corg,"{""HasProperty"": ""T5-7""}"
49,S0012821X13007309-1649,7,Qualifier,839,849,T3-7,into OAE 2,"{""Qualifies"": ""T1-7""}"
66,S0016236113008041-3257,1,Quantity,323,338,T1-1,weight% of 0.34,"{""unit"": ""weight%""}"
67,S0016236113008041-3257,1,MeasuredProperty,276,278,T3-1,Al,"{""HasQuantity"": ""T1-1""}"
68,S0016236113008041-3257,1,MeasuredEntity,301,317,T2-1,unreacted sample,"{""HasProperty"": ""T3-1""}"
69,S0016236113008041-3257,2,Quantity,380,385,T1-2,0.67%,"{""unit"": ""%""}"
70,S0016236113008041-3257,2,MeasuredProperty,276,278,T2-2,Al,"{""HasQuantity"": ""T1-2""}"
71,S0016236113008041-3257,2,MeasuredEntity,400,406,T4-2,4.5 kg,"{""HasProperty"": ""T2-2""}"
72,S0016236113008041-3257,2,Qualifier,416,423,T5-2,samples,"{""Qualifies"": ""T4-2""}"
73,S0016236113008041-3257,3,Quantity,390,395,T1-3,0.66%,"{""unit"": ""%""}"
74,S0016236113008041-3257,3,MeasuredProperty,276,278,T3-3,Al,"{""HasQuantity"": ""T1-3""}"
75,S0016236113008041-3257,3,MeasuredEntity,411,423,T2-3,6 kg samples,"{""HasProperty"": ""T3-3""}"
76,S0016236113008041-3257,4,Quantity,400,415,T1-4,4.5 kg and 6 kg,"{""mods"": [""IsList""], ""unit"": ""kg""}"
77,S0016236113008041-3257,4,MeasuredEntity,416,423,T3-4,samples,"{""HasQuantity"": ""T1-4""}"
78,S0016236113008041-3257,5,Quantity,466,471,T1-5,3.98%,"{""unit"": ""%""}"
79,S0016236113008041-3257,5,MeasuredProperty,276,278,T3-5,Al,"{""HasQuantity"": ""T1-5""}"
80,S0016236113008041-3257,5,MeasuredEntity,476,499,T2-5,13 kg sample of sorbent,"{""HasProperty"": ""T3-5""}"
81,S0016236113008041-3257,6,Quantity,476,481,T1-6,13 kg,"{""unit"": ""kg""}"
82,S0016236113008041-3257,6,MeasuredEntity,482,499,T2-6,sample of sorbent,"{""HasQuantity"": ""T1-6""}"
83,S0019103511004994-1607,1,Quantity,183,188,T1-1,50 km,"{""unit"": ""km""}"
84,S0019103511004994-1607,1,MeasuredProperty,158,174,T4-1,minimum distance,"{""HasQuantity"": ""T1-1""}"
85,S0019103511004994-1607,1,MeasuredEntity,0,18,T3-1,Flybys E12 and E13,"{""HasProperty"": ""T4-1""}"
86,S0019103511004994-1607,1,Qualifier,109,150,T5-1,directly above the north pole of the moon,"{""Qualifies"": ""T4-1""}"
87,S0019103511004994-1607,2,Quantity,331,334,T1-2,two,"{""mods"": [""IsCount""]}"
88,S0019103511004994-1607,2,MeasuredEntity,335,341,T2-2,flybys,"{""HasQuantity"": ""T1-2""}"
89,S0019103511004994-1607,3,Quantity,465,469,T1-3,four,"{""mods"": [""IsCount""]}"
90,S0019103511004994-1607,3,MeasuredEntity,470,476,T2-3,panels,"{""HasQuantity"": ""T1-3""}"
91,S0019103511004994-1607,3,Qualifier,459,464,T3-3,upper,"{""Qualifies"": ""T2-3""}"
92,S0019103511004994-1607,4,Quantity,506,509,T1-4,two,"{""mods"": [""IsCount""]}"
93,S0019103511004994-1607,4,MeasuredEntity,510,516,T2-4,panels,"{""HasQuantity"": ""T1-4""}"
94,S0019103511004994-1607,4,Qualifier,500,505,T3-4,lower,"{""Qualifies"": ""T2-4""}"
95,S0019103511004994-1607,5,Quantity,554,558,T1-5,115°,"{""unit"": ""°""}"
96,S0019103511004994-1607,5,MeasuredProperty,526,552,T2-5,measured local pitch angle,"{""HasQuantity"": ""T1-5""}"
97,S0019103511004994-1607,5,MeasuredEntity,566,569,T4-5,E12,"{""HasProperty"": ""T2-5""}"
98,S0019103511004994-1607,6,Quantity,574,583,T1-6,about 75°,"{""mods"": [""IsApproximate""], ""unit"": ""°""}"
99,S0019103511004994-1607,6,MeasuredProperty,526,552,T4-6,measured local pitch angle,"{""HasQuantity"": ""T1-6""}"
100,S0019103511004994-1607,6,MeasuredEntity,588,591,T3-6,E13,"{""HasProperty"": ""T4-6""}"
101,S0019103511004994-1607,7,Quantity,1084,1104,T1-7,tens to hundreds keV,"{""mods"": [""IsRange"", ""IsApproximate""], ""unit"": ""keV""}"
102,S0019103511004994-1607,7,MeasuredProperty,1105,1113,T4-7,energies,"{""HasQuantity"": ""T1-7""}"
103,S0019103511004994-1607,7,MeasuredEntity,1069,1078,T3-7,electrons,"{""HasProperty"": ""T4-7""}"
104,S0019103511004994-1607,8,Quantity,1318,1321,T1-8,two,"{""mods"": [""IsCount""]}"
105,S0019103511004994-1607,8,MeasuredEntity,1322,1327,T2-8,steps,"{""HasQuantity"": ""T1-8""}"
106,S0019103512002801-1781,1,Quantity,94,102,T1-1,≈ 90 keV,"{""mods"": [""IsApproximate""], ""unit"": ""keV""}"
107,S0019103512002801-1781,1,MeasuredProperty,85,93,T3-1,energy E,"{""HasQuantity"": ""T1-1""}"
108,S0019103512002801-1781,1,MeasuredEntity,67,76,T4-1,electrons,"{""HasProperty"": ""T3-1""}"
109,S0019103512002801-1781,2,Quantity,123,129,T1-2,≈ 170°,"{""mods"": [""IsApproximate""], ""unit"": ""°""}"
110,S0019103512002801-1781,2,MeasuredProperty,109,122,T3-2,pitch angle α,"{""HasQuantity"": ""T1-2""}"
111,S0019103512002801-1781,2,MeasuredEntity,67,76,T4-2,electrons,"{""HasProperty"": ""T3-2""}"
112,S0019103512002801-1781,3,Quantity,398,402,T1-3,170°,"{""unit"": ""°""}"
113,S0019103512002801-1781,3,MeasuredProperty,403,414,T3-3,pitch angle,"{""HasQuantity"": ""T1-3""}"
114,S0019103512002801-1781,3,MeasuredEntity,415,424,T4-3,electrons,"{""HasProperty"": ""T3-3""}"
115,S0019103512002801-1781,3,Qualifier,387,393,T5-3,bounce,"{""Qualifies"": ""T3-3""}"
116,S0019103512002801-1781,4,Quantity,431,441,T1-4,about 15 s,"{""mods"": [""IsApproximate""], ""unit"": ""s""}"
117,S0019103512002801-1781,4,MeasuredEntity,385,424,T3-4,a bounce for 170° pitch angle electrons,"{""HasQuantity"": ""T1-4""}"
118,S0019103512002801-1781,4,Qualifier,425,430,T4-4,takes,"{""Qualifies"": ""T1-4""}"
119,S0019103512002801-1781,5,Quantity,537,543,T1-5,≈ 170°,"{""mods"": [""IsApproximate""], ""unit"": ""°""}"
120,S0019103512002801-1781,5,MeasuredProperty,495,500,T4-5,angle,"{""HasQuantity"": ""T1-5""}"
121,S0019103512002801-1781,5,MeasuredEntity,489,494,T3-5,pitch,"{""HasProperty"": ""T4-5""}"
122,S0019103512002801-1781,5,Qualifier,544,564,T5-5,throughout the flyby,"{""Qualifies"": ""T4-5""}"
123,S0019103512002801-2075,1,Quantity,139,147,T1-1,15–35 km,"{""mods"": [""IsRange""], ""unit"": ""km""}"
124,S0019103512002801-2075,1,MeasuredProperty,129,137,T4-1,diameter,"{""HasQuantity"": ""T1-1""}"
125,S0019103512002801-2075,1,MeasuredEntity,122,126,T3-1,Rhea,"{""HasProperty"": ""T4-1""}"
126,S0019103512002801-2075,1,Qualifier,148,184,T5-1,for electrons between 20 and 100 keV,"{""Qualifies"": ""T4-1""}"
127,S0019103512002801-2075,2,Quantity,162,184,T1-2,between 20 and 100 keV,"{""mods"": [""IsRange""], ""unit"": ""keV""}"
128,S0019103512002801-2075,2,MeasuredProperty,81,90,T4-2,energetic,"{""HasQuantity"": ""T1-2""}"
129,S0019103512002801-2075,2,MeasuredEntity,152,161,T3-2,electrons,"{""HasProperty"": ""T4-2""}"
137,S0019103512003533-5211,1,Quantity,332,341,T1-1,10−5 mbar,"{""unit"": ""mbar""}"
138,S0019103512003533-5211,1,MeasuredProperty,317,330,T3-1,density level,"{""HasQuantity"": ""T1-1""}"
139,S0019103512003533-5211,1,MeasuredEntity,305,316,T2-1,ionospheric,"{""HasProperty"": ""T3-1""}"
140,S0019103512003533-5211,2,Quantity,356,359,T1-2,78°,"{""unit"": ""°""}"
141,S0019103512003533-5211,2,MeasuredEntity,347,355,T3-2,latitude,"{""HasQuantity"": ""T1-2""}"
142,S0019103512003533-5211,3,Quantity,451,457,T1-3,10 keV,"{""unit"": ""keV""}"
143,S0019103512003533-5211,3,MeasuredProperty,467,478,T3-3,energy flux,"{""HasQuantity"": ""T1-3""}"
144,S0019103512003533-5211,3,MeasuredEntity,458,466,T2-3,electron,"{""HasProperty"": ""T3-3""}"
145,S0019103512003533-5211,4,Quantity,630,635,T1-4,±50 K,"{""mods"": [""HasTolerance""], ""unit"": ""K""}"
146,S0019103512003533-5211,4,MeasuredProperty,655,667,T4-4,temperatures,"{""HasQuantity"": ""T1-4""}"
147,S0019103512003533-5211,4,MeasuredEntity,636,654,T3-4,exospheric and H3+,"{""HasProperty"": ""T4-4""}"
148,S0019103512003533-5211,5,Quantity,805,810,T1-5,⩽10 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
149,S0019103512003533-5211,5,MeasuredProperty,782,801,T2-5,temperature changes,"{""HasQuantity"": ""T1-5""}"
150,S0019103512003533-5211,5,MeasuredEntity,729,749,T3-5,seasonal differences,"{""HasProperty"": ""T2-5""}"
151,S0019103512003533-5211,6,Quantity,863,869,T1-6,10 keV,"{""unit"": ""keV""}"
152,S0019103512003533-5211,6,MeasuredProperty,879,890,T3-6,energy flux,"{""HasQuantity"": ""T1-6""}"
153,S0019103512003533-5211,6,MeasuredEntity,870,878,T2-6,electron,"{""HasProperty"": ""T3-6""}"
154,S0019103512003533-5300,1,Quantity,135,144,T1-1,80 mV m−1,"{""unit"": ""mV m−1""}"
155,S0019103512003533-5300,1,MeasuredEntity,117,131,T2-1,field strength,"{""HasQuantity"": ""T1-1""}"
156,S0019103512003533-5300,2,Quantity,220,237,T1-2,0.2 to 1.2 mW m−2,"{""mods"": [""IsRange""], ""unit"": ""mW m−2""}"
157,S0019103512003533-5300,2,MeasuredProperty,203,214,T3-2,energy flux,"{""HasQuantity"": ""T1-2""}"
158,S0019103512003533-5300,2,MeasuredEntity,29,37,T4-2,electron,"{""HasProperty"": ""T3-2""}"
159,S0019103512003533-5300,2,Qualifier,188,198,T5-2,increasing,"{""Qualifies"": ""T3-2""}"
160,S0019103512003533-5300,3,Quantity,252,262,T1-3,100 mV m−1,"{""unit"": ""mV m−1""}"
161,S0019103512003533-5300,3,MeasuredEntity,117,131,T2-3,field strength,"{""HasQuantity"": ""T1-3""}"
162,S0019103512003533-5300,4,Quantity,266,297,T1-4,increases from ∼550 K to 850 K.,"{""mods"": [""IsRange"", ""IsApproximate""], ""unit"": ""K""}"
163,S0019103512003533-5300,4,MeasuredProperty,149,160,T2-4,temperature,"{""HasQuantity"": ""T1-4""}"
164,S0019103512003533-5300,4,MeasuredEntity,391,413,T3-4,Saturn’s thermospheric,"{""HasProperty"": ""T2-4""}"
165,S0019103512003533-5300,4,Qualifier,239,262,T4-4,while at E = 100 mV m−1,"{""Qualifies"": ""T2-4""}"
166,S0019103512003533-5300,5,Quantity,526,532,T1-5,10 keV,"{""unit"": ""keV""}"
167,S0019103512003533-5300,5,MeasuredEntity,533,542,T2-5,particles,"{""HasQuantity"": ""T1-5""}"
168,S0019103512003533-5300,6,Quantity,613,619,T1-6,500 eV,"{""unit"": ""eV""}"
169,S0019103512003533-5300,6,MeasuredEntity,621,630,T2-6,electrons,"{""HasQuantity"": ""T1-6""}"
170,S0019103512003533-5300,6,Qualifier,607,611,T4-6,soft,"{""Qualifies"": ""T2-6""}"
171,S0019103512003533-5318,1,Quantity,130,136,T1-1,10 keV,"{""unit"": ""keV""}"
172,S0019103512003533-5318,1,MeasuredProperty,146,157,T3-1,energy flux,"{""HasQuantity"": ""T1-1""}"
173,S0019103512003533-5318,1,MeasuredEntity,137,145,T2-1,electron,"{""HasProperty"": ""T3-1""}"
174,S0019103512003533-5318,2,Quantity,276,285,T1-2,400–650 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
175,S0019103512003533-5318,2,MeasuredProperty,243,264,T2-2,observed temperatures,"{""HasQuantity"": ""T1-2""}"
176,S0019103512003533-5318,2,MeasuredEntity,268,274,T3-2,Saturn,"{""HasProperty"": ""T2-2""}"
177,S0019103512003533-5318,3,Quantity,403,406,T1-3,two,"{""mods"": [""IsCount""]}"
178,S0019103512003533-5318,3,MeasuredEntity,407,440,T2-3,magnetospheric forcing parameters,"{""HasQuantity"": ""T1-3""}"
179,S0019103512003533-5318,4,Quantity,649,660,T1-4,∼100 mV m−1,"{""mods"": [""IsApproximate""], ""unit"": ""mV m−1""}"
180,S0019103512003533-5318,4,MeasuredEntity,616,645,T3-4,magnetospheric electric field,"{""HasQuantity"": ""T1-4""}"
181,S0019103512003533-5318,5,Quantity,717,723,T1-5,10 keV,"{""unit"": ""keV""}"
182,S0019103512003533-5318,5,MeasuredEntity,724,732,T2-5,electron,"{""HasQuantity"": ""T1-5""}"
183,S0019103512003533-5318,6,Quantity,741,749,T1-6,1 mW m−2,"{""unit"": ""mW m−2""}"
184,S0019103512003533-5318,6,MeasuredProperty,733,737,T4-6,flux,"{""HasQuantity"": ""T1-6""}"
185,S0019103512003533-5318,6,MeasuredEntity,717,732,T3-6,10 keV electron,"{""HasProperty"": ""T4-6""}"
186,S0019103512003533-5318,7,Quantity,788,794,T1-7,∼800 K,"{""mods"": [""IsApproximate""], ""unit"": ""K""}"
187,S0019103512003533-5318,7,MeasuredProperty,772,784,T3-7,temperatures,"{""HasQuantity"": ""T1-7""}"
188,S0019103512003533-5318,7,MeasuredEntity,759,771,T2-7,thermosphere,"{""HasProperty"": ""T3-7""}"
201,S0019103512003995-2096,1,Quantity,637,647,T1-1,0.1–1 μbar,"{""mods"": [""IsRange""], ""unit"": ""μbar""}"
202,S0019103512003995-2096,1,MeasuredProperty,583,597,T2-1,lower boundary,"{""HasQuantity"": ""T1-1""}"
203,S0019103512003995-2096,1,MeasuredEntity,605,625,T3-1,absorbing layer of H,"{""HasProperty"": ""T2-1""}"
204,S0019103512003995-2096,2,Quantity,693,705,T1-2,"8000–11,000K","{""mods"": [""IsRange""], ""unit"": ""K""}"
205,S0019103512003995-2096,2,MeasuredProperty,653,669,T2-2,mean temperature,"{""HasQuantity"": ""T1-2""}"
206,S0019103512003995-2096,2,MeasuredEntity,605,625,T3-2,absorbing layer of H,"{""HasProperty"": ""T2-2""}"
207,S0019103512003995-2096,3,Quantity,741,746,T1-3,2.7Rp,"{""unit"": ""Rp""}"
208,S0019103512003995-2096,3,MeasuredProperty,715,729,T2-3,upper boundary,"{""HasQuantity"": ""T1-3""}"
209,S0019103512003995-2096,3,MeasuredEntity,605,625,T3-3,absorbing layer of H,"{""HasProperty"": ""T2-3""}"
210,S0019103512003995-2096,4,Quantity,808,823,T1-4,near the 1 μbar,"{""mods"": [""IsApproximate""], ""unit"": ""μbar""}"
211,S0019103512003995-2096,4,MeasuredProperty,796,807,T4-4,dissociates,"{""HasQuantity"": ""T1-4""}"
212,S0019103512003995-2096,4,MeasuredEntity,793,795,T3-4,H2,"{""HasProperty"": ""T4-4""}"
213,S0019103512003995-2096,5,Quantity,1049,1069,T1-5,approximately 8250 K,"{""mods"": [""IsApproximate"", ""IsMean""], ""unit"": ""K""}"
214,S0019103512003995-2096,5,MeasuredProperty,996,1012,T2-5,mean temperature,"{""HasQuantity"": ""T1-5""}"
215,S0019103512003995-2096,5,MeasuredEntity,1020,1045,T3-5,thermosphere of HD209458b,"{""HasProperty"": ""T2-5""}"
223,S0019103513005058-3189,1,Quantity,796,802,T1-1,−57 °C,"{""unit"": ""°C""}"
224,S0019103513005058-3189,1,MeasuredProperty,765,779,T3-1,eutectic point,"{""HasQuantity"": ""T1-1""}"
225,S0019103513005058-3189,1,MeasuredEntity,783,792,T4-1,Mg(ClO4)2,"{""HasProperty"": ""T3-1""}"
226,S0019103513005058-3189,2,Quantity,858,864,T1-2,−75 °C,"{""unit"": ""°C""}"
227,S0019103513005058-3189,2,MeasuredProperty,765,779,T2-2,eutectic point,"{""HasQuantity"": ""T1-2""}"
228,S0019103513005058-3189,2,MeasuredEntity,845,854,T3-2,Ca(ClO4)2,"{""HasProperty"": ""T2-2""}"
229,S0019103513005058-3189,3,Quantity,953,960,T1-3,∼0.02 g,"{""mods"": [""IsApproximate""], ""unit"": ""g""}"
230,S0019103513005058-3189,3,MeasuredProperty,961,964,T2-3,H2O,"{""HasQuantity"": ""T1-3""}"
231,S0019103513005058-3189,3,MeasuredEntity,969,975,T3-3,g soil,"{""HasProperty"": ""T2-3""}"
235,S0021979713004438-2004,1,Quantity,1145,1162,T1-1,38 MPa to 185 MPa,"{""mods"": [""IsRange""], ""unit"": ""MPa""}"
236,S0021979713004438-2004,1,MeasuredProperty,1117,1124,T2-1,modulus,"{""HasQuantity"": ""T1-1""}"
237,S0021979713004438-2004,1,MeasuredEntity,988,1004,T5-1,surface hardness,"{""HasProperty"": ""T2-1""}"
238,S0021979713004438-2004,1,Qualifier,1126,1133,T3-1,average,"{""Qualifies"": ""T1-1""}"
246,S0022459611006116-1200,1,Quantity,282,297,T1-1,from 5≤2θ/°≤120,"{""mods"": [""IsRange""]}"
247,S0022459611006116-1200,1,MeasuredProperty,274,280,T2-1,period,"{""HasQuantity"": ""T1-1""}"
248,S0022459611006116-1200,1,MeasuredEntity,240,244,T3-1,data,"{""HasProperty"": ""T2-1""}"
249,S0022459611006116-1200,1,Qualifier,250,259,T4-1,collected,"{""Qualifies"": ""T2-1""}"
250,S0022459611006116-1200,2,Quantity,318,323,T1-2,0.02°,"{""unit"": ""°""}"
251,S0022459611006116-1200,2,MeasuredProperty,310,314,T2-2,size,"{""HasQuantity"": ""T1-2""}"
252,S0022459611006116-1200,2,MeasuredEntity,305,309,T3-2,step,"{""HasProperty"": ""T2-2""}"
253,S0022459611006116-1200,3,Quantity,324,333,T1-3,over 14 h,"{""unit"": ""h""}"
254,S0022459611006116-1200,3,MeasuredProperty,274,280,T5-3,period,"{""HasQuantity"": ""T1-3""}"
255,S0022459611006116-1200,3,MeasuredEntity,240,244,T3-3,data,"{""HasProperty"": ""T5-3""}"
256,S0022459611006116-1200,3,Qualifier,250,259,T4-3,collected,"{""Qualifies"": ""T3-3""}"
257,S0022459611006116-1257,1,Quantity,64,70,T1-1,1323 K,"{""unit"": ""K""}"
258,S0022459611006116-1257,1,MeasuredProperty,49,60,T4-1,synthesised,"{""HasQuantity"": ""T1-1""}"
259,S0022459611006116-1257,1,MeasuredEntity,21,27,T3-1,Mg3NF3,"{""HasProperty"": ""T4-1""}"
260,S0022459611006116-1257,2,Quantity,247,258,T1-2,4.2153(4) Å,"{""unit"": ""Å""}"
261,S0022459611006116-1257,2,MeasuredProperty,245,246,T3-2,a,"{""HasQuantity"": ""T1-2""}"
262,S0022459611006116-1257,2,MeasuredEntity,224,239,T4-2,cubic unit cell,"{""HasProperty"": ""T3-2""}"
263,S0022459611006116-1257,2,Qualifier,195,216,T5-2,Indexing of the peaks,"{""Qualifies"": ""T3-2""}"
264,S0022459611006116-1257,3,Quantity,316,323,T1-3,4.216 Å,"{""unit"": ""Å""}"
265,S0022459611006116-1257,3,MeasuredProperty,245,246,T3-3,a,"{""HasQuantity"": ""T1-3""}"
266,S0022459611006116-1257,3,MeasuredEntity,224,239,T4-3,cubic unit cell,"{""HasProperty"": ""T3-3""}"
267,S0022459611006116-1257,3,Qualifier,296,312,T5-3,literature value,"{""Qualifies"": ""T3-3""}"
268,S0022459611006116-1257,4,Quantity,528,538,T1-4,1.1(2) wt%,"{""unit"": ""wt%""}"
269,S0022459611006116-1257,4,MeasuredEntity,504,524,T2-4,final phase fraction,"{""HasQuantity"": ""T1-4""}"
270,S0022459611006116-1257,5,Quantity,922,929,T1-5,9.36 fm,"{""unit"": ""fm""}"
271,S0022459611006116-1257,5,MeasuredProperty,834,869,T3-5,coherent neutron scattering lengths,"{""HasQuantity"": ""T1-5""}"
272,S0022459611006116-1257,5,MeasuredEntity,917,918,T2-5,N,"{""HasProperty"": ""T3-5""}"
273,S0022459611006116-1257,6,Quantity,936,943,T1-6,5.65 fm,"{""unit"": ""fm""}"
274,S0022459611006116-1257,6,MeasuredProperty,843,869,T3-6,neutron scattering lengths,"{""HasQuantity"": ""T1-6""}"
275,S0022459611006116-1257,6,MeasuredEntity,931,932,T2-6,F,"{""HasProperty"": ""T3-6""}"
276,S0022459611006116-1257,7,Quantity,1590,1594,T1-7,145°,"{""unit"": ""°""}"
277,S0022459611006116-1257,7,MeasuredEntity,1564,1583,T2-7,backscattering bank,"{""HasQuantity"": ""T1-7""}"
295,S0022459611006116-987,1,Quantity,119,130,T1-1,1323–1423 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
296,S0022459611006116-987,1,MeasuredProperty,77,97,T2-1,solid state reaction,"{""HasQuantity"": ""T1-1""}"
297,S0022459611006116-987,1,MeasuredEntity,101,115,T3-1,Mg3N2 and MgF2,"{""HasProperty"": ""T2-1""}"
298,S0022459611006116-987,2,Quantity,609,628,T1-2,between 5 and 300 K,"{""mods"": [""IsRange""], ""unit"": ""K""}"
299,S0022459611006116-987,2,MeasuredProperty,562,573,T4-2,temperature,"{""HasQuantity"": ""T1-2""}"
300,S0022459611006116-987,2,MeasuredEntity,539,556,T3-2,nitride fluorides,"{""HasProperty"": ""T4-2""}"
319,S0032063312002437-586,1,Quantity,369,375,T1-1,400 km,"{""mods"": [""IsRange""], ""unit"": ""km""}"
320,S0032063312002437-586,1,MeasuredProperty,357,365,T4-1,altitude,"{""HasQuantity"": ""T1-1""}"
321,S0032063312002437-586,1,MeasuredEntity,298,308,T5-1,ionosphere,"{""HasProperty"": ""T4-1""}"
322,S0032063312002437-586,1,Qualifier,348,353,T2-1,above,"{""Qualifies"": ""T1-1""}"
323,S0032063312002437-586,2,Quantity,448,460,T1-2,below 400 km,"{""mods"": [""IsRange""]}"
324,S0032063312002437-586,2,MeasuredProperty,357,365,T3-2,altitude,"{""HasQuantity"": ""T1-2""}"
